
2025/04/18 (23:58:36) | ===> btop++ v.1.4.0
2025/04/18 (23:58:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/21 (18:06:10) | ===> btop++ v.1.4.0
2025/04/21 (18:06:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/23 (23:29:40) | ===> btop++ v.1.4.0
2025/04/23 (23:29:40) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/24 (00:10:39) | ===> btop++ v.1.4.0
2025/04/24 (00:10:39) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/24 (00:13:54) | ===> btop++ v.1.4.0
2025/04/24 (00:13:54) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/24 (11:51:08) | ===> btop++ v.1.4.0
2025/04/24 (11:51:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/01 (18:13:08) | ===> btop++ v.1.4.0
2025/05/01 (18:13:08) | WARNING: Intel GPU: Failed to initialize PMU
